543 1
0.000488281 0.0317383 | -2.52504 
0.0317383 0.0317383 | -2.37889 
0.0629883 0.000488281 | -1.02384 
0.0629883 0.0629883 | -1.50625 
0.0600586 0.11084 | -2.43213 
0.0209961 0.0932617 | -2.35314 
0.000488281 0.125488 | -6.02915 
0.034668 0.153809 | -5.52195 
0.00341797 0.181152 | -6.76893 
0.0258789 0.223145 | -4.42666 
0.0610352 0.188965 | -4.11107 
0.097168 0.221191 | -2.47168 
0.123535 0.184082 | -5.37713 
0.0922852 0.152832 | -3.73665 
0.125488 0.125488 | -5.47961 
0.162598 0.154785 | -7.58527 
0.132324 0.185059 | -6.01709 
0.14209 0.223145 | -4.68409 
0.172363 0.199707 | -7.73428 
0.196777 0.217285 | -7.84086 
0.214355 0.23877 | -7.48469 
0.248535 0.249512 | -6.33369 
0.223145 0.196777 | -7.08265 
0.223145 0.162598 | -5.59364 
0.188965 0.161621 | -7.4943 
0.244629 0.138184 | -2.29594 
0.202637 0.11084 | -3.51079 
0.179199 0.0708008 | -0.57909 
0.179199 0.000488281 | -4.67924 
0.250488 0.000488281 | -0.303039 
0.270996 0.0717773 | -1.69945 
0.30127 0.121582 | -3.37017 
0.339355 0.0825195 | -6.35011 
0.339355 0.123535 | -6.29191 
0.374512 0.119629 | -8.06199 
0.352051 0.0629883 | -6.43124 
0.346191 0.0463867 | -5.55735 
0.32959 0.00537109 | -3.10475 
0.382324 0.0229492 | -5.23554 
0.422363 0.0385742 | -5.73758 
0.453613 0.00244141 | -5.96736 
0.472168 0.0532227 | -3.97858 
0.468262 0.0678711 | -3.54505 
0.460449 0.124512 | -3.80247 
0.42334 0.0874023 | -6.45098 
0.39209 0.090332 | -7.78723 
0.375488 0.103027 | -8.01269 
0.382324 0.131348 | -8.16203 
0.375488 0.161621 | -7.3834 
0.395996 0.158691 | -7.87898 
0.42334 0.168457 | -7.09549 
0.467285 0.140137 | -3.14476 
0.463379 0.205566 | -3.26743 
0.489746 0.246582 | -1.01222 
0.412598 0.226074 | -6.37022 
0.38623 0.196777 | -6.82757 
0.36377 0.230957 | -5.61473 
0.316895 0.211426 | -1.61206 
0.358887 0.187012 | -5.85745 
0.333496 0.14209 | -5.43059 
0.299316 0.186035 | -0.669166 
0.251465 0.20166 | -5.15665 
0.289551 0.228027 | -2.11938 
0.250488 0.250488 | -6.21049 
0.281738 0.274902 | -3.59447 
0.26123 0.305176 | -5.15504 
0.269043 0.352051 | -6.29825 
0.297363 0.325684 | -4.28927 
0.339355 0.356934 | -3.62331 
0.366699 0.313965 | -5.004 
0.325684 0.286621 | -1.93365 
0.372559 0.279785 | -6.14687 
0.393066 0.310059 | -6.13437 
0.421387 0.259277 | -5.84758 
0.484863 0.262207 | -0.689394 
0.45459 0.29541 | -2.83813 
0.486816 0.321777 | -1.3091 
0.456543 0.35498 | -3.93573 
0.424316 0.313965 | -5.38651 
0.398926 0.353027 | -4.35329 
0.378418 0.435059 | -2.058 
0.416504 0.404785 | -3.72644 
0.486816 0.381348 | -1.59311 
0.465332 0.42334 | -3.15228 
0.464355 0.486816 | -1.9204 
0.38623 0.483887 | -2.6643 
0.333496 0.495605 | -4.80165 
0.344238 0.455566 | -4.84227 
0.370605 0.39209 | -0.747644 
0.314941 0.419434 | -7.06302 
0.312012 0.430176 | -7.13245 
0.307129 0.400879 | -7.41209 
0.250488 0.400879 | -6.30109 
0.272949 0.437988 | -7.12346 
0.287598 0.484863 | -5.6924 
0.242676 0.478027 | -4.00835 
0.194824 0.468262 | -1.67731 
0.154785 0.498535 | -4.24697 
0.148926 0.437988 | -5.78276 
0.158691 0.435059 | -5.03065 
0.156738 0.380371 | -4.04254 
0.193848 0.409668 | -1.50477 
0.249512 0.401855 | -6.2162 
0.214355 0.367676 | -2.48421 
0.225098 0.315918 | -4.5984 
0.236816 0.280762 | -6.14997 
0.192871 0.29248 | -3.96482 
0.135254 0.285645 | -0.562151 
0.154785 0.348145 | -2.97222 
0.0698242 0.367676 | -2.07562 
0.108887 0.339355 | -3.49469 
0.0825195 0.303223 | -1.60411 
0.0297852 0.309082 | -3.33057 
0.0581055 0.340332 | -0.391016 
0.00146484 0.348145 | -5.20267 
0.0473633 0.376465 | -0.414228 
0.0756836 0.422363 | -5.42801 
0.100098 0.455566 | -7.4425 
0.0981445 0.484863 | -7.71488 
0.074707 0.497559 | -7.8123 
0.0551758 0.481934 | -6.96029 
0.0454102 0.464355 | -5.76227 
0.000488281 0.500488 | -4.31114 
0.0336914 0.541504 | -7.38334 
0.019043 0.559082 | -6.86036 
0.00732422 0.571777 | -6.16144 
0.00830078 0.602051 | -6.31261 
0.0415039 0.599121 | -7.65935 
0.0551758 0.580566 | -7.82015 
0.0668945 0.574707 | -7.53636 
0.100098 0.595215 | -4.44739 
0.112793 0.557129 | -4.68058 
0.0844727 0.52002 | -7.69701 
0.137207 0.510254 | -5.14791 
0.192871 0.510254 | -0.987332 
0.189941 0.57959 | -4.32675 
0.239746 0.600098 | -5.6767 
0.165527 0.623535 | -5.05878 
0.155762 0.563965 | -0.498438 
0.153809 0.631348 | -4.38353 
0.17041 0.687012 | -5.78493 
0.19873 0.654785 | -7.32658 
0.249512 0.66748 | -6.04934 
0.202637 0.715332 | -5.71536 
0.249512 0.730957 | -6.52199 
0.161621 0.734863 | -3.71207 
0.146973 0.700684 | -4.4085 
0.103027 0.72998 | -2.5515 
0.0961914 0.664551 | -3.20267 
0.0668945 0.632324 | -5.88936 
0.0317383 0.662598 | -4.43534 
0.0288086 0.712402 | -0.268719 
0.0200195 0.774902 | -4.30044 
0.0561523 0.799316 | -3.53595 
0.0922852 0.76416 | -2.69215 
0.0864258 0.822754 | -3.65124 
0.10791 0.86377 | -6.21856 
0.0541992 0.856934 | -3.61314 
0.0229492 0.876465 | -2.2532 
0.0268555 0.930176 | -4.7168 
0.0141602 0.975098 | -4.95319 
0.0551758 0.959473 | -6.44403 
0.074707 0.978027 | -5.6282 
0.11377 0.956543 | -7.21002 
0.114746 0.929199 | -8.39445 
0.0883789 0.928223 | -8.10739 
0.0883789 0.89209 | -7.28289 
0.10791 0.878418 | -7.0979 
0.140137 0.876465 | -6.69277 
0.157715 0.888184 | -6.55231 
0.158691 0.922363 | -7.29634 
0.141113 0.967285 | -5.83942 
0.182129 0.992676 | -2.11582 
0.20752 0.959473 | -3.60705 
0.23877 0.918457 | -1.4167 
0.22998 0.86377 | -0.82533 
0.17334 0.847168 | -3.12777 
0.183105 0.787598 | -1.76246 
0.200684 0.754395 | -3.95428 
0.226074 0.785645 | -4.47573 
0.240723 0.759277 | -6.0327 
0.280762 0.790527 | -7.10253 
0.281738 0.752441 | -6.83747 
0.364746 0.76709 | -3.26941 
0.331543 0.789551 | -6.1229 
0.370605 0.819824 | -5.96213 
0.343262 0.858887 | -7.50399 
0.299316 0.870605 | -6.09136 
0.29834 0.835449 | -7.05639 
0.254395 0.854004 | -3.65673 
0.282715 0.931152 | -2.15266 
0.311035 0.981934 | -3.77929 
