450 4
1.50195 2.75195 | 0.00645828 
1.63086 2.90039 | 0.00965249 
1.75195 2.75195 | 0.00359305 
1.88867 2.88477 | 0.0068536 
1.99805 2.74805 | 0.00187234 
1.87305 2.74805 | 0.00253347 
1.81055 2.68555 | 0.00108523 
1.81445 2.62695 | -0.000651584 -7.49129 53.5982 
1.87305 2.62305 | -0.00118039 -7.31286 7.5507 
1.81055 2.56055 | -0.00247238 -6.64025 50.3587 
1.87695 2.50195 | -0.00450559 -5.75457 -7.16185 -0.00841324 
1.99805 2.49805 | -0.00524289 -5.60062 -50.1839 -0.0159966 
1.87305 2.37305 | -0.00767063 -4.1903 -17.4493 -0.0290157 
1.81055 2.31055 | -0.00865012 -3.59582 25.3587 
1.75195 2.37695 | -0.00664035 -4.55204 85.8546 
1.74805 2.49805 | -0.00360813 -6.04143 101.645 
1.61914 2.37305 | -0.00536563 -5.0857 197.2 
1.74805 2.24805 | -0.00947336 -3.07512 76.6454 
1.61914 2.11914 | -0.0106778 -2.23421 171.81 
1.75195 2.00195 | -0.0140613 -0.446813 48.3546 
1.75195 2.12695 | -0.0119001 -1.7371 60.8546 
1.81445 2.18945 | -0.0112234 -2.22334 9.84815 
1.87695 2.12695 | -0.012864 -1.41497 -44.6618 -0.204189 
1.99805 2.12305 | -0.013572 -1.26835 -87.6839 -0.358579 
1.93555 2.06055 | -0.0143952 -0.643482 -81.8104 -0.383166 
1.99805 1.99805 | -0.0157234 0.0194952 
1.88867 1.91992 | -0.0163479 0.698681 
1.85742 1.9707 | -0.0153866 0.149653 
1.75586 1.9668 | -0.0146476 -0.084646 41.1588 
1.81445 1.9043 | -0.0160532 0.695053 
1.8418 1.86914 | -0.0167394 1.09198 
1.9043 1.75586 | -0.0185358 2.22879 
1.75977 1.58398 | -0.0190875 3.3267 
1.60742 1.52539 | -0.0179297 3.1127 
1.73242 1.85352 | -0.0160429 0.913991 
1.61523 1.88477 | -0.0143915 0.0910589 
1.43945 1.98242 | -0.0105938 -2.00702 187.521 
1.47461 1.85742 | -0.012916 -0.541952 183.839 
1.25195 1.81055 | -0.0097844 -2.08113 32.9093 
1.36914 1.96289 | -0.00977671 -2.39612 148.387 
1.24023 1.97852 | -0.00722763 -3.79495 38.6676 
1.20508 1.91211 | -0.00753031 -3.52861 -0.552468 -0.000338588 
1.07227 1.82227 | -0.00591001 -4.27865 -102.566 -2.04244e-05 
1.20508 1.79102 | -0.00910831 -2.40754 -12.6618 -0.0015417 
1.02539 1.67383 | -0.0064578 -3.60053 -130.709 -0.000300444 
1.15039 1.56836 | -0.0101263 -1.16213 -81.0202 -0.0418012 
1.19727 1.54102 | -0.0112823 -0.411701 -44.6805 -0.127417 
1.36133 1.55664 | -0.0141944 1.10952 
1.3418 1.59961 | -0.013538 0.594574 
1.25195 1.61133 | -0.0118202 -0.376877 12.9874 
1.32617 1.7207 | -0.0121529 -0.555134 91.1616 
1.42383 1.66211 | -0.0143401 0.788106 
1.47852 1.70898 | -0.014704 0.809917 
1.45898 1.54492 | -0.0158192 2.00042 
1.35352 1.33789 | -0.0151445 2.62275 
1.20508 1.41211 | -0.0121514 0.626668 
1.13477 1.49414 | -0.0102876 -0.779964 -99.9355 -0.105971 
1.04492 1.41992 | -0.00867429 -1.37499 -152.067 -0.0866249 
1.01367 1.28711 | -0.00835038 -0.897482 -170.734 -0.329902 
1.18164 1.30273 | -0.0120239 1.10643 
1.23242 1.32617 | -0.0129787 1.51167 
1.17773 1.19336 | -0.0120493 1.74445 
1.35352 1.23242 | -0.0153241 3.30047 
1.64258 1.12305 | -0.0193336 5.95976 
1.62695 1.49414 | -0.018351 3.45244 
2.00195 1.00195 | -0.0217155 7.4902 
2.52539 1.06836 | -0.0212679 5.22961 
2.96289 1.0332 | -0.0164018 0.892629 
2.83789 1.23633 | -0.0184178 1.30331 
2.85742 1.36133 | -0.0179177 0.261601 
2.88086 1.31055 | -0.0177421 0.317881 
2.93945 1.32227 | -0.0168826 -0.499939 -157.037 -0.0287948 
2.97461 1.40039 | -0.0160982 -1.49901 -158.051 -0.0680003 
2.85742 1.43164 | -0.0176414 -0.22935 -100.541 -0.0875886 
2.77539 1.41992 | -0.0187056 0.784342 
2.70117 1.43945 | -0.0194149 1.40576 
2.50195 1.50195 | -0.0206765 2.61064 
2.5332 1.63086 | -0.0195334 1.3764 
2.58008 1.74414 | -0.0180945 0.0581932 
2.66211 1.66992 | -0.0181563 -0.0159645 95.7022 
2.74414 1.5918 | -0.0180041 -0.179996 14.7284 
2.66211 1.61523 | -0.0186404 0.433178 
2.66602 1.54492 | -0.0191386 0.952646 
2.75195 1.50195 | -0.0185417 0.43372 
2.81445 1.56445 | -0.0173962 -0.725269 -52.6263 -0.233171 
2.87695 1.50195 | -0.0170056 -0.980261 -107.142 -0.157211 
2.87695 1.62695 | -0.0160945 -1.95804 -94.6424 -0.349334 
2.87305 1.74805 | -0.0149665 -2.9323 -79.9294 -0.602982 
2.81055 1.68555 | -0.0164148 -1.66508 -37.1155 -0.449008 
2.75195 1.68945 | -0.0170578 -1.06225 17.1324 
2.75195 1.75195 | -0.016407 -1.59997 23.3824 
2.76367 1.80664 | -0.0156426 -2.20984 17.8225 
2.79883 1.81836 | -0.0150904 -2.69751 -13.4372 -0.719809 
2.86523 1.77539 | -0.0147639 -3.07885 -71.8001 -0.660617 
2.88477 1.8457 | -0.0136416 -3.95273 -77.7793 -0.812249 
2.95508 1.93555 | -0.0113883 -5.7004 -100.501 -0.964099 
2.88477 1.95898 | -0.0120504 -5.03023 -66.4511 -0.961414 
2.81445 1.87695 | -0.0141418 -3.41387 -21.3763 -0.832335 
2.80273 1.97852 | -0.0128062 -4.26119 -0.91731 -0.923917 
2.73242 1.98242 | -0.0135434 -3.55028 64.8027 
2.70117 1.94727 | -0.0144042 -2.89379 90.0527 
2.62695 1.94336 | -0.0151513 -2.17127 149.11 
2.73633 1.91602 | -0.0144967 -2.94292 54.4985 
2.6543 1.86523 | -0.0160108 -1.6707 121.404 
2.49805 1.99805 | -0.0152429 -1.70305 199.793 
2.37305 1.99805 | -0.0158318 -0.946895 154.549 
2.37305 1.87305 | -0.0176706 0.262822 
2.37305 1.75586 | -0.0191108 1.32598 
2.49805 1.74805 | -0.0186081 0.638256 
2.4043 1.60742 | -0.0204227 2.40538 
2.24805 1.74805 | -0.0194734 1.93356 
2.00195 1.75195 | -0.0190613 2.32662 
2.12695 1.87695 | -0.017864 1.08069 
2.18945 1.93945 | -0.017031 0.347051 
2.12305 1.99805 | -0.016072 -0.0856209 -57.5622 -0.392368 
2.00195 2.00195 | -0.0156765 -0.0195673 -99.7935 -0.457742 
2.02539 2.20508 | -0.0120933 -2.1604 -77.5886 -0.265793 
2.08398 2.13867 | -0.0135544 -1.48378 -65.7334 -0.399695 
2.12695 2.18945 | -0.0126565 -2.09619 -35.8186 -0.366989 
2.20117 2.22852 | -0.0119215 -2.69675 27.5387 
2.41211 2.05273 | -0.0147785 -1.7137 182.967 
2.45508 2.40039 | -0.00743997 -5.84286 234.098 
2.21289 2.42773 | -0.00742502 -5.04947 58.1022 
2.18555 2.31055 | -0.0101648 -3.58565 21.9448 
2.07227 2.33789 | -0.00938889 -3.7006 -51.016 -0.13037 
2.10352 2.42383 | -0.00742935 -4.76177 -26.9987 -0.0691565 
2.09961 2.58008 | -0.00335306 -6.71091 -13.5665 -0.00958172 
2.24023 2.52539 | -0.00491721 -6.34478 93.3274 
2.12695 2.62695 | -0.00208469 -7.36413 7.93138 
2.22852 2.63867 | -0.0017941 -7.76911 93.6669 
2.24023 2.72461 | 0.000760526 
2.09961 2.66992 | -0.000792514 -7.89011 -4.58208 -0.00231192 
2.04102 2.73633 | 0.0013558 
2.10352 2.82617 | 0.00403744 
2.34961 2.99805 | 0.0100536 
2.4668 2.69336 | 0.000513028 
2.2832 2.70508 | 0.000221829 
2.36523 2.56445 | -0.00360965 -7.36741 205.795 
2.29883 2.52148 | -0.00493912 -6.51484 147.435 
2.73242 2.50195 | -0.00271445 -9.37471 116.756 
2.6543 2.61914 | -0.000296542 -10.1227 196.795 
2.7207 2.72852 | 0.00357492 
2.5332 2.73633 | 0.00221328 
2.63867 2.97461 | 0.0109167 
2.80273 2.91211 | 0.0104461 
2.99805 2.74805 | 0.00783328 
2.77148 2.70117 | 0.00330111 
2.83789 2.57227 | 0.000400174 
2.81055 2.56055 | -0.000261447 -10.9534 50.3845 
2.83789 2.55273 | -0.000132053 -11.1666 26.6107 
2.9043 2.53711 | 0.000338956 
2.93945 2.58398 | 0.00212204 
2.92773 2.49023 | -0.000556979 -11.4802 -35.7634 -0.0958375 
2.88867 2.25586 | -0.00660892 -8.20654 -39.1688 -0.5485 
2.83789 2.27148 | -0.00695017 -7.77452 -1.51427 -0.49456 
2.75195 2.31836 | -0.0069462 -7.3636 80.0231 
2.76758 2.41602 | -0.00449161 -8.68433 75.0963 
2.67383 2.39648 | -0.00593912 -7.51093 158.752 
2.68555 2.35742 | -0.00674619 -7.15731 144.865 
2.54492 2.09961 | -0.0132173 -3.08298 204.032 
2.80273 2.16211 | -0.00961057 -6.16167 17.4421 
2.82227 2.16211 | -0.00937131 -6.38208 0.445288 
2.89258 2.15039 | -0.00867093 -7.09306 -52.0517 -0.807623 
2.89258 2.16211 | -0.00844681 -7.2194 -50.8798 -0.78225 
2.95117 2.22852 | -0.00627896 -8.69854 -70.1343 -0.6317 
2.91211 2.11523 | -0.00905246 -6.96293 -66.1629 -0.88172 
3.00195 2.00195 | -0.00963742 -6.99114 -99.7938 -0.999962 
3.07227 2.06055 | -0.00748612 -8.59903 -78.7626 -0.960291 
3.00586 2.11133 | -0.00770072 -8.17033 -88.7668 -0.901952 
3.06055 2.19336 | -0.00522696 -9.83789 -69.9535 -0.720077 
3.12695 2.12695 | -0.00531516 -10.1294 -42.0885 -0.845492 
3.12695 2.18945 | -0.0041174 -10.8039 -35.8385 -0.711323 
3.18945 2.18945 | -0.00291965 -11.8093 13.2106 
3.24805 2.12305 | -0.00299582 -12.0851 60.4223 
3.25195 2.00195 | -0.00500266 -10.9042 51.9943 
3.38086 2.12305 | -3.5556e-05 -14.5098 172.172 
3.25195 2.25195 | -0.000367892 -13.5629 76.9943 
3.31445 2.31445 | 0.00234012 
3.37695 2.25195 | 0.00241824 
3.37695 2.37695 | 0.00520437 
3.24805 2.49805 | 0.00533328 
3.23242 2.35742 | 0.0015552 
3.22461 2.28711 | -0.000183688 -13.4915 54.8417 
3.17773 2.2832 | -0.00120706 -12.6649 12.4922 
3.08789 2.37305 | -0.000856113 -12.2972 -40.4181 -0.272055 
3.01758 2.39258 | -0.00159323 -11.5018 -59.8321 -0.237694 
3.06445 2.45508 | 0.000725003 
3.00195 2.50195 | 0.000882108 
3.23242 2.59961 | 0.00774801 
3.07617 2.68164 | 0.00712936 
3.13477 2.77539 | 0.0110564 
3.50195 2.50195 | 0.0114016 
3.95508 2.50586 | 0.0253557 
3.99805 1.99805 | 0.0161985 
3.9043 1.69727 | 0.00901901 
3.74023 1.72852 | 0.00401651 
3.7207 1.61914 | 0.00238217 
3.68555 1.52539 | 0.000627286 
3.5918 1.61133 | -0.00143711 -14.0869 136.894 
3.55273 1.75586 | -0.0011113 -14.4506 167.443 
3.47461 1.95117 | -0.000611118 -14.6182 193.205 
3.33789 1.83789 | -0.005483 -10.8748 112.44 
3.29102 1.91992 | -0.00541397 -10.7897 80.1806 
3.36133 1.9707 | -0.00307334 -12.5787 143.611 
3.2793 1.94727 | -0.00526712 -10.8449 72.1408 
3.24805 1.97461 | -0.00551578 -10.5645 45.5786 
3.18945 1.9668 | -0.00683005 -9.49572 -9.05504 -0.920414 
3.14648 1.89258 | -0.00874503 -8.08259 -51.5997 -0.875195 
3.0918 1.9668 | -0.00866721 -7.94864 -79.0744 -0.974487 
3.01758 1.91211 | -0.0107447 -6.33114 -107.879 -0.941076 
3.09961 1.82617 | -0.0104861 -6.73407 -88.9734 -0.778892 
3.16992 1.79102 | -0.00959952 -7.52432 -43.2606 -0.67791 
3.2168 1.69336 | -0.00972721 -7.45057 -11.7707 -0.45221 
3.06445 1.60352 | -0.013399 -4.29663 -127.53 -0.313174 
3.14258 1.55273 | -0.0123712 -5.09333 -88.4857 -0.221679 
3.23633 1.58398 | -0.0102858 -6.88715 -4.51232 -0.250498 
3.30273 1.52539 | -0.00928098 -7.60258 51.2948 
3.4082 1.67383 | -0.00565732 -10.7753 143.091 
3.45898 1.47852 | -0.00587387 -10.2472 142.886 
3.3457 1.33789 | -0.00918351 -7.05069 68.6123 
3.29492 1.4043 | -0.0100941 -6.57473 32.1664 
3.33789 1.49023 | -0.00870969 -7.98221 77.6743 
3.22852 1.45117 | -0.0112907 -5.74566 -25.1106 -0.0969262 
